  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-21-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    18.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -22.000  -1.0389   0.12690  18.00000  -0.0129  0.5577  0.0096   0.12401
 -21.000  -1.1540   0.08948  18.00000  -0.0397  0.5460  0.0097   0.08611
 -20.000  -1.2158   0.06622  18.00000  -0.0555  0.5383  0.0099   0.06252
 -19.000  -1.2470   0.05047  18.00000  -0.0651  0.5222  0.0102   0.04652
 -18.000  -1.2576   0.03920  18.00000  -0.0707  0.5058  0.0106   0.03503
 -17.000  -1.2531   0.03090  18.00000  -0.0735  0.4900  0.0110   0.02656
 -16.000  -1.2384   0.02445  18.00000  -0.0744  0.4745  0.0119   0.01996
 -15.000  -1.1994   0.01967  18.00000  -0.0749  0.4590  0.0126   0.01507
 -14.000  -1.1365   0.01668  18.00000  -0.0760  0.0500  0.0134   0.01144
 -13.000  -1.0665   0.01392  18.00000  -0.0767  0.0500  0.0149   0.00860
 -12.000  -0.9515   0.01215  18.00000  -0.0828  0.0500  0.0163   0.00676
 -11.000  -0.8199   0.01081  18.00000  -0.0904  0.0500  0.0187   0.00535
 -10.000  -0.6887   0.00995  18.00000  -0.0961  0.0500  0.0217   0.00445
  -9.000  -0.5600   0.00936  18.00000  -0.1003  0.0500  0.0253   0.00383
  -8.000  -0.4308   0.00891  18.00000  -0.1042  0.0500  0.0298   0.00335
  -7.000  -0.3016   0.00856  18.00000  -0.1080  0.0500  0.0353   0.00299
  -6.000  -0.1722   0.00829  18.00000  -0.1117  0.0500  0.0440   0.00271
  -5.000  -0.0438   0.00814  18.00000  -0.1150  0.0500  0.0500   0.00254
  -4.000   0.0833   0.00812  18.00000  -0.1179  0.0500  0.0500   0.00247
  -3.000   0.2100   0.00814  18.00000  -0.1207  0.0500  0.0500   0.00245
  -2.000   0.3360   0.00820  18.00000  -0.1234  0.0500  0.0500   0.00249
  -1.000   0.4613   0.00832  18.00000  -0.1259  0.0500  0.0500   0.00257
   0.000   0.5858   0.00847  18.00000  -0.1283  0.0500  0.0500   0.00270
   1.000   0.7094   0.00868  18.00000  -0.1306  0.0500  0.0500   0.00289
   2.000   0.8318   0.00892  18.00000  -0.1327  0.0500  0.0500   0.00312
   3.000   0.9531   0.00922  18.00000  -0.1346  0.0500  0.0500   0.00341
   4.000   1.0729   0.00956  18.00000  -0.1362  0.0500  0.0500   0.00375
   5.000   1.1911   0.00996  18.00000  -0.1377  0.0500  0.0500   0.00414
   6.000   1.3075   0.01041  18.00000  -0.1388  0.0500  0.0500   0.00460
   7.000   1.4209   0.01098  18.00000  -0.1395  0.0462  0.0500   0.00517
   8.000   1.5282   0.01186  18.00000  -0.1393  0.0315  0.0500   0.00599
   9.000   1.6307   0.01286  18.00000  -0.1382  0.0218  0.0500   0.00695
  10.000   1.7277   0.01393  18.00000  -0.1364  0.0172  0.0500   0.00801
  11.000   1.8137   0.01518  18.00000  -0.1328  0.0148  0.0500   0.00927
  12.000   1.8595   0.01707  18.00000  -0.1226  0.0127  0.0500   0.01123
  13.000   1.8914   0.02057  18.00000  -0.1135  0.0115  0.0500   0.01483
  14.000   1.8591   0.03082  18.00000  -0.1061  0.0105  0.0500   0.02536
  15.000   1.6371   0.06271  18.00000  -0.1048  0.0114  0.0500   0.05790
  16.000   1.4966   0.09148  18.00000  -0.1107  0.0115  0.0500   0.08711
  17.000   1.4406   0.11355  18.00000  -0.1184  0.0111  0.0500   0.10946
  18.000   1.4193   0.13158  18.00000  -0.1264  0.0100  0.0500   0.12768
  19.000   1.4247   0.14880  18.00000  -0.1379  0.0093  0.6101   0.14571
  20.000   1.4305   0.16309  18.00000  -0.1469  0.0087  0.6190   0.16013

