  
       RFOIL         Version 1.1
  
 Calculated polar for: OSO-21-WT1                      
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -21.000  -0.9722   0.12276   6.00000  -0.0153  1.0000  0.0181   0.12082
 -20.000  -1.0780   0.08672   6.00000  -0.0405  1.0000  0.0187   0.08426
 -19.000  -1.1327   0.06435   6.00000  -0.0554  1.0000  0.0195   0.06154
 -18.000  -1.1555   0.04941   6.00000  -0.0643  1.0000  0.0203   0.04635
 -17.000  -1.1552   0.03904   6.00000  -0.0694  1.0000  0.0211   0.03577
 -16.000  -1.1507   0.03057   6.00000  -0.0721  1.0000  0.0226   0.02713
 -15.000  -1.1217   0.02513   6.00000  -0.0734  0.7202  0.0241   0.02080
 -14.000  -1.0795   0.02036   6.00000  -0.0743  0.6489  0.0262   0.01576
 -13.000  -1.0167   0.01679   6.00000  -0.0755  0.6047  0.0287   0.01201
 -12.000  -0.9421   0.01401   6.00000  -0.0768  0.5707  0.0317   0.00910
 -11.000  -0.8292   0.01202   6.00000  -0.0829  0.5395  0.0362   0.00700
 -10.000  -0.6986   0.01051   6.00000  -0.0906  0.5137  0.0428   0.00541
  -9.000  -0.5653   0.00948   6.00000  -0.0970  0.4908  0.0510   0.00434
  -8.000  -0.4351   0.00877   6.00000  -0.1017  0.4702  0.0619   0.00361
  -7.000  -0.3046   0.00820   6.00000  -0.1061  0.4504  0.0762   0.00305
  -6.000  -0.1736   0.00773   6.00000  -0.1103  0.4335  0.0961   0.00260
  -5.000  -0.0423   0.00732   6.00000  -0.1145  0.4174  0.1241   0.00224
  -4.000   0.0892   0.00698   6.00000  -0.1186  0.4028  0.1609   0.00197
  -3.000   0.2217   0.00662   6.00000  -0.1230  0.3885  0.2221   0.00175
  -2.000   0.3550   0.00626   6.00000  -0.1276  0.3757  0.3067   0.00159
  -1.000   0.4864   0.00604   6.00000  -0.1317  0.3635  0.3907   0.00154
   0.000   0.6146   0.00600   6.00000  -0.1349  0.3519  0.4521   0.00160
   1.000   0.7398   0.00611   6.00000  -0.1373  0.3409  0.4875   0.00173
   2.000   0.8638   0.00627   6.00000  -0.1396  0.3303  0.5169   0.00191
   3.000   0.9865   0.00649   6.00000  -0.1415  0.3209  0.5395   0.00212
   4.000   1.1079   0.00675   6.00000  -0.1433  0.3111  0.5565   0.00238
   5.000   1.2280   0.00705   6.00000  -0.1449  0.3017  0.5713   0.00268
   6.000   1.3468   0.00739   6.00000  -0.1463  0.2926  0.5846   0.00303
   7.000   1.4634   0.00784   6.00000  -0.1474  0.2780  0.5977   0.00345
   8.000   1.5772   0.00841   6.00000  -0.1480  0.2610  0.6104   0.00399
   9.000   1.6870   0.00917   6.00000  -0.1481  0.2385  0.6222   0.00468
  10.000   1.7817   0.01083   6.00000  -0.1459  0.1871  0.6344   0.00605
  11.000   1.8347   0.01441   6.00000  -0.1372  0.0999  0.6456   0.00910
  12.000   1.8305   0.01888   6.00000  -0.1204  0.0523  0.6568   0.01340
  13.000   1.8094   0.02711   6.00000  -0.1103  0.0398  0.6678   0.02183
  14.000   1.6805   0.05051   6.00000  -0.1090  0.0385  0.6759   0.04583
  15.000   1.5015   0.08104   6.00000  -0.1117  0.0412  0.6803   0.07702
  16.000   1.4189   0.10582   6.00000  -0.1189  0.0370  0.6858   0.10215
  17.000   1.3823   0.12614   6.00000  -0.1269  0.0318  0.6935   0.12271
  18.000   1.3684   0.14368   6.00000  -0.1354  0.0271  0.7019   0.14043
  19.000   1.3690   0.15922   6.00000  -0.1446  0.0236  0.7102   0.15611
  20.000   1.3776   0.17337   6.00000  -0.1542  0.0206  0.7195   0.17038

